old_subject,new_subject,named_by
entity:SSC_03_035_STUDY_LIBRARY_AREA,entity:SSC_03-035_Study-Library-Area,ontology (reference holds several rooms)
entity:SSC_03_036_KITCHEN,entity:SSC_03-036_Kitchen,ontology (reference holds several rooms)
entity:SSC_03_037_MALE_TOILET,entity:SSC_03-037_Male-Toilet,ontology (reference holds several rooms)
entity:SSC_03_038_SERVER_ROOM,entity:SSC_03-038_Server-Room,naming sheet
entity:SSC_03_039_FEMALE_TOILET,entity:SSC_03-039_Female-Toilet,ontology (reference holds several rooms)
entity:SSC_03_040_CORRIDOR,entity:SSC_03-040_Corridor,ontology (reference holds several rooms)
entity:SSC_03_041_CORRIDOR,entity:SSC_03-041_Corridor,naming sheet
entity:SSC_03_042_CORRIDOR,entity:SSC_03-042_Corridor,naming sheet
entity:SSC_03_043_EXTERIOR_COURTYARD,entity:SSC_03-043_Exterior-Courtyard,ontology (reference holds several rooms)
entity:SSC_03_044_CORRIDOR,entity:SSC_03-044_Corridor,ontology (reference holds several rooms)
entity:SSC_03_045_JANITORS_CLOSET,entity:SSC_03-045_Janitors-Closet,naming sheet
entity:SSC_03_046_STORAGE,entity:SSC_03-046_Storage,ontology (reference holds several rooms)
entity:SSC_03_047_BALCONY,entity:SSC_03-047_Balcony,ontology (reference holds several rooms)
entity:SSC_03_048_BALCONY,entity:SSC_03-048_Balcony,ontology (reference holds several rooms)
entity:SSC_03_049_IT_OFFICE,entity:SSC_03-049_IT-Office,naming sheet
entity:SSC_03_F7_1_PODIUM,entity:SSC_03-F7_1-Podium,ontology (reference holds several rooms)
entity:SSC_03_P-1_LIFT,entity:SSC_03-P-1_Lift,ontology (reference holds several rooms)
entity:SSC_03_P-2_LIFT,entity:SSC_03-P-2_Lift,ontology (reference holds several rooms)
entity:SSC_03_ST-1_STAIR-1,entity:SSC_03-ST-1_Stair-1,ontology (reference holds several rooms)
entity:SSC_03_ST-2_STAIR-2,entity:SSC_03-ST-2_Stair-2,ontology (reference holds several rooms)
entity:SSC_B1_001_FM_STORAGE,entity:SSC_B-001_Fm-Storage,ontology (reference holds several rooms)
entity:SSC_B1_002_HV_ROOM,entity:SSC_B-002_HV-Room,naming sheet
entity:SSC_B1_003_TRANSFORMER,entity:SSC_B-003_Transformer,naming sheet
entity:SSC_B1_004_MV_SWITCH_ROOM,entity:SSC_B-004_MV-Switch-Room,naming sheet
entity:SSC_B1_005_UPS,entity:SSC_B-005_UPS,naming sheet
entity:SSC_B1_006_SERVICE_AREA,entity:SSC_B-006_Service-Area,ontology (reference holds several rooms)
entity:SSC_B1_007_SERVICE_DOCK,entity:SSC_B-007_Service-Dock,ontology (reference holds several rooms)
entity:SSC_B1_008_VENT_PLANT,entity:SSC_B-008_Vent-Plant,naming sheet
entity:SSC_B1_009_TOILET,entity:SSC_B-009_Toilet,ontology (reference holds several rooms)
entity:SSC_B1_010_VESTIBULE,entity:SSC_B-010_Vestibule,ontology (reference holds several rooms)
entity:SSC_B1_011_JANITORS_CLOSET,entity:SSC_B-011_Janitors-Closet,ontology (reference holds several rooms)
entity:SSC_B1_012_GENERATOR,entity:SSC_B-012_Generator,naming sheet
entity:SSC_B1_013_CHILLED_WATER,entity:SSC_B-013_Chilled-Water,naming sheet
entity:SSC_B1_014_VENT_PLANT,entity:SSC_B-014_Vent-Plant,naming sheet
entity:SSC_B1_015_ENTRANCE,entity:SSC_B-015_Entrance,naming sheet
entity:SSC_B1_016_SPRINKLER-WATER,entity:SSC_B-016_Sprinkler-Water,naming sheet
entity:SSC_B1_017_MDF-2,entity:SSC_B-017_MDF-2,naming sheet
entity:SSC_B1_018_CONDENSER_ROOM,entity:SSC_B-018_Condenser-Room,ontology (reference holds several rooms)
entity:SSC_B1_019_FM_STORAGE,entity:SSC_B-019_Fm-Storage,ontology (reference holds several rooms)
entity:SSC_B1_020_FM_STORAGE,entity:SSC_B-020_Fm-Storage,ontology (reference holds several rooms)
entity:SSC_B1_021_FM_STORAGE,entity:SSC_B-021_Fm-Storage,ontology (reference holds several rooms)
entity:SSC_B1_022_SSP,entity:SSC_B-022_Ssp,naming sheet
entity:SSC_B1_023_Q_TEL,entity:SSC_B-023_Q-Tel,naming sheet
entity:SSC_B1_024_BIN_STORAGE,entity:SSC_B-024_Bin-Storage,ontology (reference holds several rooms)
entity:SSC_B1_025_MAIN_SEC_CONTROL_ROOM,entity:SSC_B-025_Main-Sec-Control-Room,naming sheet
entity:SSC_B1_026_MDF_SER-1,entity:SSC_B-026_MDF-Ser-1,naming sheet
entity:SSC_B1_027_CORRIDOR,entity:SSC_B-027_Corridor,ontology (reference holds several rooms)
entity:SSC_B1_028_FILE_STORAGE,entity:SSC_B-028_File-Storage,ontology (reference holds several rooms)
entity:SSC_B1_029_CORRIDOR,entity:SSC_B-029_Corridor,ontology (reference holds several rooms)
entity:SSC_B1_030_CORRIDOR,entity:SSC_B-030_Corridor,naming sheet
entity:SSC_B1_031_CORRIDOR,entity:SSC_B-031_Corridor,ontology (reference holds several rooms)
entity:SSC_B1_032_CORRIDOR,entity:SSC_B-032_Corridor,ontology (reference holds several rooms)
entity:SSC_B1_034_CORRIDOR,entity:SSC_B-034_Corridor,ontology (reference holds several rooms)
entity:SSC_B1_035_CORRIDOR,entity:SSC_B-035_Corridor,ontology (reference holds several rooms)
entity:SSC_B1_036_STORAGE,entity:SSC_B-036_Storage,ontology (reference holds several rooms)
entity:SSC_B1_038_SER-2,entity:SSC_B-038_Ser-2,naming sheet
entity:SSC_B1_039_BMS,entity:SSC_B-039_BMS,ontology (reference holds several rooms)
entity:SSC_B1_P-1_P1,entity:SSC_B-P-1_P1,ontology (reference holds several rooms)
entity:SSC_B1_P-2_P2,entity:SSC_B-P-2_P2,ontology (reference holds several rooms)
entity:SSC_B1_ST-1_STAIR-1,entity:SSC_B-ST-1_Stair-1,ontology (reference holds several rooms)
entity:SSC_B1_ST-2_STAIR-2,entity:SSC_B-ST-2_Stair-2,ontology (reference holds several rooms)
entity:SSC_ST-10_STAIR-10,entity:SSC_ST-10_Stair-10,ontology (reference holds several rooms)
