building,tag,equipment type,room,proposed,why
QNL,EF_RP02,EF,P.004 PLANT ZONE,Not Included,"plant equipment, not a room"
QNL,EF_RP03,EF,P.007 PLANT ZONE,Not Included,"plant equipment, not a room"
QNL,KEF_101,KEF,L1.067 RESTAURANT,Not Included,"plant equipment, not a room"
QNL,KEF_B019,KEF,B.049 MEP KITCHEN,Not Included,"plant equipment, not a room"
QNL,KEF_B020,KEF,B.052 CORRIDOR 3,Not Included,"plant equipment, not a room"
QNL,KEF_B04,KEF,B.001A BREAK OUT AREA,Not Included,"plant equipment, not a room"
QNL,SEF_RP04,SEF,P.002 PLANT ZONE,Not Included,"plant equipment, not a room"
QNL,SEF_RP05,SEF,P.002 PLANT ZONE,Not Included,"plant equipment, not a room"
QNL,SEF_RP06,SEF,P.002 PLANT ZONE,Not Included,"plant equipment, not a room"
QNL,SEF_RP07,SEF,P.004 PLANT ZONE,Not Included,"plant equipment, not a room"
QNL,SEF_RP08,SEF,P.004 PLANT ZONE,Not Included,"plant equipment, not a room"
QNL,SEF_RP09,SEF,P.004 PLANT ZONE,Not Included,"plant equipment, not a room"
QNL,SEF_RP10,SEF,P.007 PLANT ZONE,Not Included,"plant equipment, not a room"
QNL,SEF_RP11,SEF,P.006 PLANT ZONE,Not Included,"plant equipment, not a room"
QNL,SEF_RP12,SEF,P.006 PLANT ZONE,Not Included,"plant equipment, not a room"
QNL,SEF_ZoneA,SEF,P.002 PLANT ZONE,Not Included,"plant equipment, not a room"
QNL,SEF_ZoneB,SEF,P.004 PLANT ZONE,Not Included,"plant equipment, not a room"
QNL,SEF_ZoneC,SEF,P.007 PLANT ZONE,Not Included,"plant equipment, not a room"
QNL,TEF_101C,TEF,E2 SHAFT,Not Included,"plant equipment, not a room"
QNL,TEF_102C,TEF,E1 SHAFT,Not Included,"plant equipment, not a room"
QNL,TEF_B01A,TEF,B.110 PLANT ROOM 03,Not Included,"plant equipment, not a room"
QNL,TEF_B01B,TEF,B.110 PLANT ROOM 03,Not Included,"plant equipment, not a room"
QNL,TEF_B02A,TEF,B.070 PLANT ROOM 02,Not Included,"plant equipment, not a room"
QNL,TEF_B02B,TEF,B.070 PLANT ROOM 02,Not Included,"plant equipment, not a room"
QNL,TEF_B03A,TEF,B.120 COMPACT SHELVING MAIN COLLECTION,Not Included,"plant equipment, not a room"
QNL,TEF_B03B,TEF,B.120 COMPACT SHELVING MAIN COLLECTION,Not Included,"plant equipment, not a room"
QNL,CCU_B01,CCU,B.048 QTEL ROOM,Not Included,"plant equipment, not a room"
QNL,CCU_B02,CCU,B.048 QTEL ROOM,Not Included,"plant equipment, not a room"
QNL,CCU_B03,CCU,B.050 TELECOM ROOM,Not Included,"plant equipment, not a room"
QNL,CCU_B04,CCU,B.050 TELECOM ROOM,Not Included,"plant equipment, not a room"
QNL,CCU_B05,CCU,B.089 SERVER ROOM,Not Included,"plant equipment, not a room"
QNL,CCU_B06,CCU,B.089 SERVER ROOM,Not Included,"plant equipment, not a room"
QNL,CCU_B07,CCU,B.089 SERVER ROOM,Not Included,"plant equipment, not a room"
QNL,CCU_B08,CCU,B.141 VAULT,Not Included,"plant equipment, not a room"
QNL,CCU_B09,CCU,B.141 VAULT,Not Included,"plant equipment, not a room"
QNL,CCU_B10,CCU,B.222 IDF,Not Included,"plant equipment, not a room"
QNL,CCU_B11,CCU,B.222 IDF,Not Included,"plant equipment, not a room"
QNL,CCU_8081,CCU,,Not Included,"plant equipment, not a room"
QNL,CCU_8082,CCU,,Not Included,"plant equipment, not a room"
QNL,CCU_8083,CCU,,Not Included,"plant equipment, not a room"
QNL,CCU_8084,CCU,,Not Included,"plant equipment, not a room"
QNL,CCU_8085,CCU,,Not Included,"plant equipment, not a room"
QNL,CCU_8086,CCU,,Not Included,"plant equipment, not a room"
QNL,CCU_MDFRm,CCU,,Not Included,"plant equipment, not a room"
QNL,CCU_Qtel,CCU,,Not Included,"plant equipment, not a room"
QNL,CCU_Server_Rm,CCU,,Not Included,"plant equipment, not a room"
QNL,CCU_AVServer_Rm,CCU,,Not Included,"plant equipment, not a room"
QNL,CCU_HeritageVault,CCU,,Not Included,"plant equipment, not a room"
QNL,CHW_P01,CHW Pump,B.220 PLANT ROOM 04,Not Included,"plant equipment, not a room"
QNL,CHW_P02,CHW Pump,B.220 PLANT ROOM 04,Not Included,"plant equipment, not a room"
QNL,CHW_P03,CHW Pump,B.220 PLANT ROOM 04,Not Included,"plant equipment, not a room"
QNL,CHW_P04,CHW Pump,B.220 PLANT ROOM 04,Not Included,"plant equipment, not a room"
QNL,CHWPU_P01,CHW Pump,B.220 PLANT ROOM 04,Not Included,"plant equipment, not a room"
QNL,CHWPU_P02,CHW Pump,,Not Included,"plant equipment, not a room"
QNL,ELEC_Gen,Generator,B.080 GENERATOR,Not Included,"plant equipment, not a room"
SSC,VAV0063,VAV,(NOT FOUND ON DRAWING LEVEL 3),,no room name - nothing to decide it on
