equip,kind,token,class,source,unit,desc
entity:QNL_EF_B06,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Binding & Preservation Room Fume Hood Exhaust 
entity:QNL_EF_B06,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Binding & Preservation Room Fume Hood Exhaust 
entity:QNL_EF_B06,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Binding & Preservation Room Fume Hood Exhaust 
entity:QNL_EF_B12,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Basement Level Pantry Room Exhaust Fan B.12
entity:QNL_EF_B12,POINT,LocSts,para:Local_Status,para (minted),,QNL Basement Level Pantry Room Exhaust Fan B.12
entity:QNL_EF_B12,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Pantry Room Exhaust Fan B.12
entity:QNL_EF_B12,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement Level Pantry Room Exhaust Fan B.12
entity:QNL_EF_B12,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Basement Level Pantry Room Exhaust Fan B.12
entity:QNL_EF_RP01,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Roof Exhaust Fan RP-01
entity:QNL_EF_RP01,POINT,LocSts,para:Local_Status,para (minted),,QNL Roof Exhaust Fan RP-01
entity:QNL_EF_RP01,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Roof Exhaust Fan RP-01
entity:QNL_EF_RP01,POINT,SpeedFbk,brick:Speed_Sensor,Brick 1.4,%,Speed Feedback
entity:QNL_EF_RP01,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Roof Exhaust Fan RP-01
entity:QNL_EF_RP01,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_EF_RP01,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Roof Exhaust Fan RP-01
entity:QNL_EF_RP01,POINT,kW,brick:Electric_Power_Sensor,Dar Cairo,kW,Power
entity:QNL_EF_RP01,POINT,kWH,brick:Electrical_Energy_Usage_Sensor,Dar Cairo,kWh,Energy
entity:QNL_EF_RP01,POINT/part,ZoneASpcTemp.PV,brick:Zone_Air_Temperature_Sensor,Brick 1.4,°C,Process Value
entity:QNL_EF_RP01,POINT/part,ZoneBSpcTemp.PV,brick:Zone_Air_Temperature_Sensor,Brick 1.4,°C,Process Value
entity:QNL_EF_RP01,POINT/part,ZoneCSpcTemp.PV,brick:Zone_Air_Temperature_Sensor,Brick 1.4,°C,Process Value
entity:QNL_EF_RP03,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Roof Exhaust Fan RP-03
entity:QNL_EF_RP03,POINT,LocSts,para:Local_Status,para (minted),,QNL Roof Exhaust Fan RP-03
entity:QNL_EF_RP03,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Roof Exhaust Fan RP-03
entity:QNL_EF_RP03,POINT,SpeedFbk,brick:Speed_Sensor,Brick 1.4,%,Speed Feedback
entity:QNL_EF_RP03,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Roof Exhaust Fan RP-03
entity:QNL_EF_RP03,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_EF_RP03,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Roof Exhaust Fan RP-03
entity:QNL_EF_RP03,POINT,kW,brick:Electric_Power_Sensor,Dar Cairo,kW,Power
entity:QNL_EF_RP03,POINT,kWH,brick:Electrical_Energy_Usage_Sensor,Dar Cairo,kWh,Energy
entity:QNL_CCU_B01,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Zone-2 Q-Tel Room Closed Contro
entity:QNL_CCU_B01,POINT,TripAlm,para:Trip_Status,Dar Cairo,,Trip Alarm
entity:QNL_CCU_B02,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Zone-2 Q-Tel Room Closed Contro
entity:QNL_CCU_B02,POINT,TripAlm,para:Trip_Status,Dar Cairo,,Trip Alarm
entity:QNL_CCU_B03,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Zone-2 MDF Room Closed Control 
entity:QNL_CCU_B03,POINT,TripAlm,para:Trip_Status,Dar Cairo,,Trip Alarm
entity:QNL_CCU_B04,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Zone-2 MDF Room Closed Control 
entity:QNL_CCU_B04,POINT,TripAlm,para:Trip_Status,Dar Cairo,,Trip Alarm
entity:QNL_CCU_B05,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Zone-1 Server Room Closed Contr
entity:QNL_CCU_B05,POINT,TripAlm,para:Trip_Status,Dar Cairo,,Trip Alarm
entity:QNL_CCU_B06,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Zone-1 Server Room Closed Contr
entity:QNL_CCU_B06,POINT,TripAlm,para:Trip_Status,Dar Cairo,,Trip Alarm
entity:QNL_CCU_B07,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Zone-1 Server Room Closed Contr
entity:QNL_CCU_B07,POINT,TripAlm,para:Trip_Status,Dar Cairo,,Trip Alarm
entity:QNL_CCU_B08,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Zone-1 Heritage Vault -B.141
entity:QNL_CCU_B08,POINT,TripAlm,para:Trip_Status,Dar Cairo,,Trip Alarm
entity:QNL_CCU_B09,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Zone-1 Heritage Vault -B.141
entity:QNL_CCU_B09,POINT,TripAlm,para:Trip_Status,Dar Cairo,,Trip Alarm
entity:QNL_CCU_B10,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Zone-1 Server Room Closed Contr
entity:QNL_CCU_B10,POINT,TripAlm,para:Trip_Status,Dar Cairo,,Trip Alarm
entity:QNL_CCU_B11,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Zone-1 Server Room Closed Contr
entity:QNL_CCU_B11,POINT,TripAlm,para:Trip_Status,Dar Cairo,,Trip Alarm
entity:QNL_TEF_B02A,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Basement Level Zone 1 Plant Room 02 Toilet Exh
entity:QNL_TEF_B02A,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Zone 1 Plant Room 02 Toilet Exh
entity:QNL_TEF_B02A,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement Level Zone 1 Plant Room 02 Toilet Exh
entity:QNL_TEF_B02A,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_TEF_B02A,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Basement Level Zone 1 Plant Room 02 Toilet Exh
entity:QNL_TEF_B02B,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Basement Level Zone 1 Plant Room 02 Toilet Exh
entity:QNL_TEF_B02B,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Zone 1 Plant Room 02 Toilet Exh
entity:QNL_TEF_B02B,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement Level Zone 1 Plant Room 02 Toilet Exh
entity:QNL_TEF_B02B,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_TEF_B02B,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Basement Level Zone 1 Plant Room 02 Toilet Exh
entity:QNL_TEF_B01A,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Basement Level Zone 2 Plant Room 03 Toilet Exh
entity:QNL_TEF_B01A,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Zone 2 Plant Room 03 Toilet Exh
entity:QNL_TEF_B01A,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement Level Zone 2 Plant Room 03 Toilet Exh
entity:QNL_TEF_B01A,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_TEF_B01A,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Basement Level Zone 2 Plant Room 03 Toilet Exh
entity:QNL_TEF_B01B,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Basement Level Zone 2 Plant Room 03 Toilet Exh
entity:QNL_TEF_B01B,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Zone 2 Plant Room 03 Toilet Exh
entity:QNL_TEF_B01B,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement Level Zone 2 Plant Room 03 Toilet Exh
entity:QNL_TEF_B01B,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_TEF_B01B,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Basement Level Zone 2 Plant Room 03 Toilet Exh
entity:QNL_TEF_B03A,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Basement Level Zone 1 Plant Room B4 Toilet Exh
entity:QNL_TEF_B03A,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Zone 1 Plant Room B4 Toilet Exh
entity:QNL_TEF_B03A,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement Level Zone 1 Plant Room B4 Toilet Exh
entity:QNL_TEF_B03A,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_TEF_B03A,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Basement Level Zone 1 Plant Room B4 Toilet Exh
entity:QNL_TEF_B03B,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Basement Level Zone 1 Plant Room B4 Toilet Exh
entity:QNL_TEF_B03B,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Zone 1 Plant Room B4 Toilet Exh
entity:QNL_TEF_B03B,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement Level Zone 1 Plant Room B4 Toilet Exh
entity:QNL_TEF_B03B,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_TEF_B03B,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Basement Level Zone 1 Plant Room B4 Toilet Exh
entity:QNL_TEF_101C,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL First Level Zone 2 Electrical Room Toilet Exha
entity:QNL_TEF_101C,POINT,LocSts,para:Local_Status,para (minted),,QNL First Level Zone 2 Electrical Room Toilet Exha
entity:QNL_TEF_101C,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL First Level Zone 2 Electrical Room Toilet Exha
entity:QNL_TEF_101C,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL First Level Zone 2 Electrical Room Toilet Exha
entity:QNL_TEF_101C,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_TEF_101C,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL First Level Zone 2 Electrical Room Toilet Exha
entity:QNL_TEF_102C,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL First Level Zone 2 Electrical Room Toilet Exha
entity:QNL_TEF_102C,POINT,LocSts,para:Local_Status,para (minted),,QNL First Level Zone 2 Electrical Room Toilet Exha
entity:QNL_TEF_102C,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL First Level Zone 2 Electrical Room Toilet Exha
entity:QNL_TEF_102C,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL First Level Zone 2 Electrical Room Toilet Exha
entity:QNL_TEF_102C,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_TEF_102C,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL First Level Zone 2 Electrical Room Toilet Exha
entity:QNL_DX_B11,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Irrigation Pump Room DX Unit B/
entity:QNL_DX_B11,POINT/part,RmTemp.PV,para:Room_Air_Temperature,Dar Cairo,°C,Process Value
entity:QNL_DX_B11,POINT/part,RmTempSP.SP,brick:Room_Air_Temperature_Setpoint,Brick 1.4,°C,Setpoint
entity:QNL_DX_B11,POINT/part,RmTempSPHys.SP,para:Room_Air_Temperature_Setpoint_Hysteresis,para (minted),°C,Setpoint
entity:QNL_DX_B01,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level MV Room-1 DX Unit B/01
entity:QNL_DX_B01,POINT/part,RmTemp.PV,para:Room_Air_Temperature,Dar Cairo,°C,Process Value
entity:QNL_DX_B01,POINT/part,RmTempSP.SP,brick:Room_Air_Temperature_Setpoint,Brick 1.4,°C,Setpoint
entity:QNL_DX_B01,POINT/part,RmTempSPHys.SP,para:Room_Air_Temperature_Setpoint_Hysteresis,para (minted),°C,Setpoint
entity:QNL_DX_B02,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level MV Room-1 DX Unit B/02
entity:QNL_DX_B03,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Transformer Room DX Unit B/03
entity:QNL_DX_B03,POINT/part,RmTemp.PV,para:Room_Air_Temperature,Dar Cairo,°C,Process Value
entity:QNL_DX_B03,POINT/part,RmTempSP.SP,brick:Room_Air_Temperature_Setpoint,Brick 1.4,°C,Setpoint
entity:QNL_DX_B03,POINT/part,RmTempSPHys.SP,para:Room_Air_Temperature_Setpoint_Hysteresis,para (minted),°C,Setpoint
entity:QNL_DX_B04,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Transformer Room DX Unit B/04
entity:QNL_DX_B14,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Transformer Room DX Unit B/14
entity:QNL_DX_B08,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level UPS Battery Room DX Unit B/08
entity:QNL_DX_B09,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level UPS Battery Room DX Unit B/09
entity:QNL_DX_B09,POINT/part,RmTemp.PV,para:Room_Air_Temperature,Dar Cairo,°C,Process Value
entity:QNL_DX_B09,POINT/part,RmTempSP.SP,brick:Room_Air_Temperature_Setpoint,Brick 1.4,°C,Setpoint
entity:QNL_DX_B09,POINT/part,RmTempSPHys.SP,para:Room_Air_Temperature_Setpoint_Hysteresis,para (minted),°C,Setpoint
entity:QNL_DX_B20,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Security IDF 2/CPNL Room DX Uni
entity:QNL_DX_B20,POINT/part,RmTemp.PV,para:Room_Air_Temperature,Dar Cairo,°C,Process Value
entity:QNL_DX_B20,POINT/part,RmTempSP.SP,brick:Room_Air_Temperature_Setpoint,Brick 1.4,°C,Setpoint
entity:QNL_DX_B20,POINT/part,RmTempSPHys.SP,para:Room_Air_Temperature_Setpoint_Hysteresis,para (minted),°C,Setpoint
entity:QNL_DX_B13,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Trash Room DX Unit B/13
entity:QNL_DX_B13,POINT/part,RmTemp.PV,para:Room_Air_Temperature,Dar Cairo,°C,Process Value
entity:QNL_DX_B13,POINT/part,RmTempSP.SP,brick:Room_Air_Temperature_Setpoint,Brick 1.4,°C,Setpoint
entity:QNL_DX_B13,POINT/part,RmTempSPHys.SP,para:Room_Air_Temperature_Setpoint_Hysteresis,para (minted),°C,Setpoint
entity:QNL_DX_B15,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Trash Room DX Unit B/15
entity:QNL_DX_B07,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level MV Room-2 DX Unit B/07 B.95
entity:QNL_DX_B07,POINT/part,RmTemp.PV,para:Room_Air_Temperature,Dar Cairo,°C,Process Value
entity:QNL_DX_B07,POINT/part,RmTempSP.SP,brick:Room_Air_Temperature_Setpoint,Brick 1.4,°C,Setpoint
entity:QNL_DX_B07,POINT/part,RmTempSPHys.SP,para:Room_Air_Temperature_Setpoint_Hysteresis,para (minted),°C,Setpoint
entity:QNL_DX_B16,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level MV Room-2 DX Unit B/16 B.95
entity:QNL_DX_B10,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Security Store/Security UPS Roo
entity:QNL_DX_B10,POINT/part,RmTemp.PV,para:Room_Air_Temperature,Dar Cairo,°C,Process Value
