row,tag,D room as per drawings,J room per BMS screen,K screen,verdict,note
1075,VAV_B_S11_005,"Tech, Services & Collections Office B.001",Break Out Area / Tech.Services & Collections Office (open plan),QNL/BF.jpg,OPEN,open plan - east end
1076,VAV_B_S11_006,"Tech, Services & Collections Office B.001",Break Out Area / Tech.Services & Collections Office (open plan),QNL/BF.jpg,OPEN,open plan - east end
1077,VAV_B_S11_007,"Tech, Services & Collections Office B.001",Break Out Area / Tech.Services & Collections Office (open plan),QNL/BF.jpg,OPEN,open plan - east end
1078,VAV_B_S11_008,"Tech, Services & Collections Office B.001",Tech.Services & Collection (open plan),QNL/BF-1.jpg,OPEN,
1079,VAV_B_S11_009,"Tech, Services & Collections Office B.001",Tech.Services & Collection (open plan),QNL/BF-1.jpg,OPEN,
1080,VAV_B_S11_010,"Tech, Services & Collections Office B.001",Tech.Services & Collection (open plan),QNL/BF-1.jpg,OPEN,
1081,VAV_B_S11_011,Break Out Area B.001A,Break Out Area / Tech.Services & Collections Office (open plan),QNL/BF.jpg,OPEN,open plan - west end
1082,VAV_B_S11_012,Break Out Area B.001A,Break Out Area / Tech.Services & Collections Office (open plan),QNL/BF.jpg,OPEN,open plan - west end
1083,VAV_B_S11_013,"Tech, Services & Collections Office B.001",Break Out Area / Tech.Services & Collections Office (open plan),QNL/BF.jpg,OPEN,open plan - west end
1084,VAV_B_S11_014,"Tech, Services & Collections Office B.001",Break Out Area / Tech.Services & Collections Office (open plan),QNL/BF.jpg,OPEN,open plan - west end
1085,VAV_B_S11_015,"Tech, Services & Collections Office B.001",Break Out Area / Tech.Services & Collections Office (open plan),QNL/BF.jpg,OPEN,open plan - east end
1086,VAV_B_S11_016,"Tech, Services & Collections Office B.001",Break Out Area / Tech.Services & Collections Office (open plan),QNL/BF.jpg,OPEN,open plan - east end
1087,VAV_B_S11_017,"Tech, Services & Collections Office B.001",Break Out Area / Tech.Services & Collections Office (open plan),QNL/BF.jpg,OPEN,open plan - east end
1088,VAV_B_S11_018,"Tech, Services & Collections Office B.001",Tech.Services & Collection (open plan),QNL/BF-1.jpg,OPEN,
1089,VAV_B_S11_019,"Tech, Services & Collections Office B.001",Tech.Services & Collection (open plan),QNL/BF-1.jpg,OPEN,
1090,VAV_B_S11_020,"Tech, Services & Collections Office B.001",Tech.Services & Collection (open plan),QNL/BF-1.jpg,OPEN,
1091,VAV_B_S11_021,Reception & Lounge B.009,Break Out Area / Tech.Services & Collections Office (open plan),QNL/BF.jpg,DIFF,"open plan - east end, inside the purple zone"
1092,VAV_B_S11_022,Corridor Leading To Reception & Lounge B.009,Corridor east of Receving Area,QNL/BF.jpg,SAME,
1093,VAV_B_S11_023,Corridor Leading To Reception & Lounge B.009,Unlabelled strip between Plant Rm 1 and Plant Rm 2,QNL/BF-2.jpg,CHECK,"the strip carries no label on this screen, so it cannot be matched against column D either way"
1094,VAV_B_S11_024,Kitchen B.002,Kitchen,QNL/BF.jpg,SAME,
1095,VAV_B_S11_025,Storage B.028,Storage,QNL/BF.jpg,SAME,
1096,VAV_B_S11_026,AD TECH SERVICES DIRECTOR B.003,Finance Cooridinator & Business Support officer,QNL/BF.jpg,DIFF,
1098,VAV_B_S11_028,Analogue Resources B.004,Analog Resource,QNL/BF.jpg,SAME,
1100,VAV_B_S11_030,Budget & Payment 1 B.006,Budget & Payment,QNL/BF.jpg,SAME,"lower band, west of the partition"
1101,VAV_B_S11_031,Budget & Payment 2 B.007,Budget & Payment,QNL/BF.jpg,SAME,"lower band, west of the partition"
1102,VAV_B_S11_032,Ad Collection B.024,Ad Collection,QNL/BF.jpg,SAME,
1103,VAV_B_S11_033,Ad Collection B.024,Ad Collection,QNL/BF.jpg,SAME,
1107,VAV_B_S11_037,Art & Humanities B.023,Corridor 4,QNL/BF-1.jpg,DIFF,"dot is in the Corridor 4 strip west of the MV Rm wall, the strip the Corridor 4 label points into; column D says Art & Humanities B.023"
1108,VAV_B_S11_038,HARD & HEALTH SCIENCES B.027,Procurement SPC,QNL/BF.jpg,DIFF,
1113,VAV_B_S11_043,Receiving Area B.008,Corridor east of Receving Area,QNL/BF.jpg,DIFF,"east of the Receving Area wall, in the corridor strip with S11-046 and S11-022; column D says Receiving Area B.008"
1114,VAV_B_S11_044,Receiving Area B.008,Budget & Payment (lower band),QNL/BF.jpg,CHECK,"the dot is in the lower band with S11-030 and S11-031; the partition between the cells is only partial, so which cell is not certain. Column D says Receiving Area B.008"
1115,VAV_B_S11_045,Receiving Area B.008,Receving Area,QNL/BF.jpg,SAME,
1116,VAV_B_S11_046,Receiving Area B.008,Corridor east of Receving Area,QNL/BF.jpg,DIFF,"right of the Receving Area wall, in the corridor strip with S11-022; column D says Receiving Area B.008"
1117,VAV_B_S13_001,Meeting Room B.034,Meeting Rm,QNL/BF-1.jpg,SAME,
1118,VAV_B_S13_002,Meeting Room B.034,Meeting Rm,QNL/BF-1.jpg,SAME,
1119,VAV_B_S13_003,Processing Room B.103,Processing Rm,QNL/BF-5.jpg,SAME,
1120,VAV_B_S13_004,Processing Room B.103,Processing Rm,QNL/BF-5.jpg,SAME,
1123,VAV_B_S13_007,Shipping CLIRK B.101,Shipping Clerk,QNL/BF-5.jpg,SAME,
1124,VAV_B_S13_008,SECURITY CONTROL ROOM B.105,Security Store,QNL/BF-5.jpg,DIFF,"the dot is inside the Security Store cell; the screen has no room called Security Control Room, which is what column D says"
1125,VAV_B_S14_001,Office B.040,Office,QNL/BF-4.jpg,D-BLANK,
1127,VAV_B_S14_003,Office AD For LIT B.057,Loading Area (north-west grey band),QNL/BF-4.jpg,DIFF,"the dot is in the grey Loading Area band, two walls west of the pink; column D says Office AD For LIT B.057"
1132,VAV_B_S14_008,Shell Space B.59,Office AD For LIT / Digitization Rm (open plan),QNL/BF-4.jpg,DIFF,"the dot is in the Digitization Rm end of the open band; Shell Space is the next room east across a wall, which is what column D says"
1133,VAV_B_S14_009,Digitization Room B.041,Office AD For LIT / Digitization Rm (open plan),QNL/BF-4.jpg,OPEN,open plan - Office AD For LIT end
1162,VAV_B_S15_010,HC DIRECTOR HEAD B.149,Cell north-east of VIP Majlis,QNL/BF-8.jpg,CHECK,the cell carries no label of its own
1163,VAV_B_S15_011,VIP Majlis B.149,VIP Majlis,QNL/BF-8.jpg,SAME,
1167,CAV_1F_S11_002,CORRIDOR L1.023,Grey area by L-1 and Rest Rm,QNL/FF.jpg,CHECK,unlabelled; may be the CORRIDOR L1.023 column D names
1186,CAV_B_S12_001,CORRIDOR B.061,Plant Rm 1,QNL/BF-2.jpg,DIFF,both S12-001 and S12-002 land in Plant Rm 1; column D says CORRIDOR B.061
1187,CAV_B_S12_002,Plant Room 1 B.063,Plant Rm 1,QNL/BF-2.jpg,SAME,
1188,CAV_B_S12_003,Plant Room 1 B.063,Plant Rm 1,QNL/BF-2.jpg,SAME,
1189,CAV_B_S13_001,Corridor 2 B.064,Corridor south of Plant Rm 1,QNL/BF-2.jpg,SAME,
1190,CAV_B_S13_002,Corridor 2 B.064,Corridor south of Plant Rm 1,QNL/BF-2.jpg,SAME,
1192,CAV_B_S13_004,Corridor 2 B.064,Corridor 2,QNL/BF-5.jpg,SAME,
1193,CAV_B_S13_005,Corridor 2 B.064,Corridor 2,QNL/BF-5.jpg,SAME,
1194,CAV_B_S13_006,CORRIDOR 4 B.035,Plant Rm 2 - narrow band along its north wall,QNL/BF-2.jpg,CHECK,the band may be the Corridor 4 column D names; it carries no label here
1195,CAV_B_S13_007,CORRIDOR 4 B.035,Corridor 4,QNL/BF-1.jpg,SAME,
1196,CAV_B_S13_008,CORRIDOR 4 B.035,Unlabelled strip north of Fire Cmd,QNL/BF-3.jpg,CHECK,the strip carries no label; column D says CORRIDOR 4 B.035
1197,CAV_B_S13_009,IT STORAGE B.104,Storage,QNL/BF-5.jpg,SAME,the dot sits on the Storage / Security Equip. boundary
1198,CAV_B_S13_010,Plant Room 2 B.070,Plant Rm 2,QNL/BF-2.jpg,SAME,
1199,CAV_B_S13_011,Plant Room 2 B.070,Plant Rm 2,QNL/BF-2.jpg,SAME,
1200,CAV_B_S13_012,Fire Command B.071,Plant Rm 2,QNL/BF-2.jpg,DIFF,dot is inside Plant Rm 2 with S13-010 and S13-011; column D says Fire Command B.071
1201,CAV_B_S13_013,GAS SUPPRESSION B.087,Gas Suppression,QNL/BF-3.jpg,SAME,
1202,CAV_B_S13_014,PEOPLE MOVER B.088,Cell between Gas Suppression and Server Rm,QNL/BF-3.jpg,CHECK,the middle cell carries no label of its own
1203,CAV_B_S13_015,Server Room B.089,Server Rm,QNL/BF-3.jpg,SAME,
1205,CAV_B_S13_021,Sprinklers Pumps & Zones Valves B.072,Sprinkler Pump,QNL/BF-3.jpg,SAME,
1207,CAV_B_S14_001,CORRIDOR 3 B.051,Loading Area (north-west grey band),QNL/BF-4.jpg,CHECK,the band is long and narrow and may be the CORRIDOR 3 column D names
1210,CAV_B_S14_004,PLANT ROOM 3 B.110,Plant Rm 3 / Corridor 5 (open plan),QNL/BF-6.jpg,OPEN,open plan - level with the Corridor 5 label
1212,CAV_B_S14_006,Referigerate Store Kitchen Lobby B.044,Pink lobby west of Refrigerated Store,QNL/BF-4.jpg,SAME,
