Subject,subjectType,predicate,object,objectType,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val
para:UPS_Meter,owl:Class,rdfs:subClassOf,brick:Electrical_Meter,,rdfs:label_en,UPS Electrical Meter,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Unit_failure,owl:Class,rdfs:subClassOf,brick:Failure_Alarm,,rdfs:label_en,Unit failure,,,,,,,,,,,,,,,,,,,,,,,,,,
para:TVOC_KPI,owl:Class,rdfs:subClassOf,para:OW_KPI,,rdfs:label_en,,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Trip_Status,owl:Class,rdfs:subClassOf,brick:Status,,rdfs:label_en,Trip Status,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Total_VA_Sensor,owl:Class,rdfs:subClassOf,brick:Power_Sensor,,rdfs:label_en,Total VA Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Thermal_Power_Target,owl:Class,rdfs:subClassOf,brick:Thermal_Power_Sensor,,rdfs:label_en,Thermal Power Target,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Thermal_Power_Sensor_Pred,owl:Class,rdfs:subClassOf,brick:Thermal_Power_Sensor,,rdfs:label_en,Predicted Thermal Power Demand,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Thermal_Power_Sensor_Forecast,owl:Class,rdfs:subClassOf,brick:Thermal_Power_Sensor,,rdfs:label_en,Thermal Power Forecast,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Thermal_Energy_Usage_Sensor_Forecast,owl:Class,rdfs:subClassOf,brick:Thermal_Energy_Usage_Sensor,,rdfs:label_en,Thermal Energy Usage Forecast,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Temperature_Setpoint_Mode_Selector,owl:Class,rdfs:subClassOf,brick:Reset_Setpoint,,rdfs:label_en,Temperature Setpoint Selector,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Temperature_Sensor_Forecast,owl:Class,rdfs:subClassOf,brick:Temperature_Sensor,,rdfs:label_en,Weather Temperature Forecast,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Temperature_KPI,owl:Class,rdfs:subClassOf,para:OW_KPI,,rdfs:label_en,,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Supply_Smoke_Detector,owl:Class,rdfs:subClassOf,brick:Smoke_Detector,,rdfs:label_en,Supply Smoke Detector,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Supply_Air_Flow_Sensor_02,owl:Class,rdfs:subClassOf,brick:Supply_Air_Flow_Sensor,,rdfs:label_en,Supply Air Flow Sensor 02,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Supply_Air_Flow_Sensor_01,owl:Class,rdfs:subClassOf,brick:Supply_Air_Flow_Sensor,,rdfs:label_en,Supply Air Flow Sensor 01,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Sump_System,owl:Class,rdfs:subClassOf,brick:System,,rdfs:label_en,Sump System,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Sump_Pit,owl:Class,rdfs:subClassOf,brick:Tank,,rdfs:label_en,Sump Pit,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Summer_Supply_Air_Temperature_Setpoint,owl:Class,rdfs:subClassOf,brick:Supply_Air_Temperature_Setpoint,,rdfs:label_en,Summer Supply Air Temperature Setpoint,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Sub_Main_Distribution_Board,owl:Class,rdfs:subClassOf,brick:Breaker_Panel,,rdfs:label_en,Sub Main Distribution Panel,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Stop_Time,owl:Class,rdfs:subClassOf,brick:Duration_Sensor,,rdfs:label_en,Stop Time,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Static_Pressure_Setpoint_03,owl:Class,rdfs:subClassOf,brick:Supply_Air_Static_Pressure_Setpoint,,rdfs:label_en,Static Pressure Setpoint 03,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Static_Pressure_Setpoint_02,owl:Class,rdfs:subClassOf,brick:Supply_Air_Static_Pressure_Setpoint,,rdfs:label_en,Static Pressure Setpoint 02,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Static_Pressure_Setpoint_01,owl:Class,rdfs:subClassOf,brick:Supply_Air_Static_Pressure_Setpoint,,rdfs:label_en,Static Pressure Setpoint 01,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Static_Pressure_Sensor_03,owl:Class,rdfs:subClassOf,brick:Supply_Air_Static_Pressure_Sensor,,rdfs:label_en,Static Pressure Sensor 03,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Static_Pressure_Sensor_02,owl:Class,rdfs:subClassOf,brick:Supply_Air_Static_Pressure_Sensor,,rdfs:label_en,Static Pressure Sensor 02,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Static_Pressure_Sensor_01,owl:Class,rdfs:subClassOf,brick:Supply_Air_Static_Pressure_Sensor,,rdfs:label_en,Static Pressure Sensor 01,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Start_Time_Buffer,owl:Class,rdfs:subClassOf,brick:Point,,rdfs:label_en,Start Time Buffer,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Start_Time,owl:Class,rdfs:subClassOf,brick:Duration_Sensor,,rdfs:label_en,Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,
para:SPWR_Meter,owl:Class,rdfs:subClassOf,brick:Electrical_Meter,,rdfs:label_en,Small Power Electrical Meter ,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Solar_Meter,owl:Class,rdfs:subClassOf,brick:Electrical_Meter,,rdfs:label_en,Generator Electrical Meter,,,,,,,,,,,,,,,,,,,,,,,,,,
para:safeShutdown,owl:Class,rdfs:subClassOf,brick:Point,,rdfs:label_en,Safe Shut Down Flag,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Rotate_Command,owl:Class,rdfs:subClassOf,brick:Lead_Lag_Command,,rdfs:label_en,Rotate Command,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Room_Air_Temperature,owl:Class,rdfs:subClassOf,brick:Temperature_Sensor,,rdfs:label_en,Room Air Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Return_Smoke_Detector,owl:Class,rdfs:subClassOf,brick:Smoke_Detector,,rdfs:label_en,Return Smoke Detector,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Res_Current_Sensor,owl:Class,rdfs:subClassOf,brick:Current_Sensor,,rdfs:label_en,Residual Current,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Required_Operation_Hours,owl:Class,rdfs:subClassOf,para:Operation_Hours,,rdfs:label_en,Required Operating Duration,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Relative_Humidity_Sensor_Forecast,owl:Class,rdfs:subClassOf,brick:Relative_Humidity_Sensor,,rdfs:label_en,Weather Relative Humidity Forecast,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Relative_Humidity_KPI,owl:Class,rdfs:subClassOf,para:OW_KPI,,rdfs:label_en,,,,,,,,,,,,,,,,,,,,,,,,,,,
para:refrigerant,owl:Class,rdfs:subClassOf,rec:PointOfInterest,,rdfs:label_en,Refrigerant Type,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Reactive_Energy_Usage_Sensor,owl:Class,rdfs:subClassOf,brick:Electrical_Energy_Usage_Sensor,,rdfs:label_en,Reactive Energy Usage Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:ratedWaterFlowrate,brick:EntityProperty,rdfs:subPropertyOf,para:ratedWaterFlowrate,,rdfs:label_en,Rated Water Flowrate,,,,,,,,,,,,,,,,,,,,,,,,,,
para:ratedSupplyAirFlowrate,brick:EntityProperty,rdfs:subPropertyOf,para:ratedSupplyAirFlowrate,,rdfs:label_en,Rated Supply Air Flowrate,,,,,,,,,,,,,,,,,,,,,,,,,,
para:ratedSpeed,brick:EntityProperty,rdfs:subPropertyOf,para:ratedSpeed,,rdfs:label_en,Rated Speed,,,,,,,,,,,,,,,,,,,,,,,,,,
para:ratedOutsideAirFlowrate,brick:EntityProperty,rdfs:subPropertyOf,para:ratedOutsideAirFlowrate,,rdfs:label_en,Rated Outside Air Flowrate,,,,,,,,,,,,,,,,,,,,,,,,,,
para:ratedHead,brick:EntityProperty,rdfs:subPropertyOf,para:ratedHead,,rdfs:label_en,Rated head,,,,,,,,,,,,,,,,,,,,,,,,,,
para:ratedExhaustAirFlowrate,brick:EntityProperty,rdfs:subPropertyOf,para:ratedExhaustAirFlowrate,,rdfs:label_en,Rated Exhaust Air Flowrate,,,,,,,,,,,,,,,,,,,,,,,,,,
para:ratedChilledWaterFlowrate,brick:EntityProperty,rdfs:subPropertyOf,para:ratedChilledWaterFlowrate,,rdfs:label_en,Rated Chilled Water Flowrate,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Rated_Tank_Level,brick:EntityProperty,rdfs:subPropertyOf,para:ratedTankLevel,,rdfs:label_en,Rated_Tank_Level,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Rate,owl:Class,rdfs:subClassOf,brick:Point,,rdfs:label_en,Rate,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Prod_Type,owl:Class,rdfs:subClassOf,brick:Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Pressure_Selection_Mode,owl:Class,rdfs:subClassOf,brick:Mode_Status,,rdfs:label_en,Pressure Selection Mode,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Pressure_Independent_Module,owl:Class,rdfs:subClassOf,brick:Terminal_Unit,,rdfs:label_en,Pressure Independent Module,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Power_panel,owl:Class,rdfs:subClassOf,brick:Breaker_Panel,,rdfs:label_en,Power Panel,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Power_Fail_Count,owl:Class,rdfs:subClassOf,brick:Point,,rdfs:label_en,Power Fail Count,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Pos_Current_Sensor,owl:Class,rdfs:subClassOf,brick:Current_Sensor,,rdfs:label_en,Positive Sequence Current,,,,,,,,,,,,,,,,,,,,,,,,,,
para:PM2.5_KPI,owl:Class,rdfs:subClassOf,para:OW_KPI,,rdfs:label_en,,,,,,,,,,,,,,,,,,,,,,,,,,,
para:PM10_KPI,owl:Class,rdfs:subClassOf,para:OW_KPI,,rdfs:label_en,,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Phase_Loss_Alarm,owl:Class,rdfs:subClassOf,brick:Power_Loss_Alarm,,rdfs:label_en,Phase Loss Status Class,,,,,,,,,,,,,,,,,,,,,,,,,,
para:OW_KPI,owl:Class,rdfs:subClassOf,para:KPI,,rdfs:label_en,Occupant Wellbeing KPI,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Over_Speed_Sensor,owl:Class,rdfs:subClassOf,brick:Speed_Sensor,,rdfs:label_en,Over Speed Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Output_Priority_Array_13,owl:Class,rdfs:subClassOf,rec:PointOfInterest,,rdfs:label_en,Output Priority Array 13,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Output_Priority_Array_12,owl:Class,rdfs:subClassOf,rec:PointOfInterest,,rdfs:label_en,Output Priority Array 12,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Output_Priority_Array_08,owl:Class,rdfs:subClassOf,rec:PointOfInterest,,rdfs:label_en,Output Priority Array 08,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Output_Off_Status,owl:Class,rdfs:subClassOf,brick:Off_Status,,rdfs:label_en,Output Off Status,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Output_Off_Command,owl:Class,rdfs:subClassOf,brick:Off_Command,,rdfs:label_en,Output Off Command,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Output_Alarm,owl:Class,rdfs:subClassOf,brick:Alarm,,rdfs:label_en,Output Alarm,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Outpower_L3,owl:Class,rdfs:subClassOf,brick:Load_Parameter,,rdfs:label_en,Outpower L3%,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Outpower_L2,owl:Class,rdfs:subClassOf,brick:Load_Parameter,,rdfs:label_en,Outpower L2%,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Outpower_L1,owl:Class,rdfs:subClassOf,brick:Load_Parameter,,rdfs:label_en,Outpower L1%,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Operation_Hours,owl:Class,rdfs:subClassOf,brick:Duration_Sensor,,rdfs:label_en,Operating Duration,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Operation_Above80_Hours,owl:Class,rdfs:subClassOf,brick:Duration_Sensor,,rdfs:label_en,Operating Hours Above 80 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Oil_Temperature_Sensor,owl:Class,rdfs:subClassOf,brick:Temperature_Sensor,,rdfs:label_en,Oil Temperature Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Oil_Storage_Tank,owl:Class,rdfs:subClassOf,brick:Storage_Tank,,rdfs:label_en,Oil StorageTank,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Oil_Pump,owl:Class,rdfs:subClassOf,brick:Pump,,rdfs:label_en,Oil Pump,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Oil_Loop,owl:Class,rdfs:subClassOf,brick:Gas_Distribution,,rdfs:label_en,Oil Loop,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Off_Time_Sensor,owl:Class,rdfs:subClassOf,brick:Duration_Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Occupied_Hours,owl:Class,rdfs:subClassOf,brick:Duration_Sensor,,rdfs:label_en,Occupied Hours,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Occupant-Wellbeing_Meter,owl:Class,rdfs:subClassOf,brick:Meter,,rdfs:label_en,Occupant Wellbeing Virtual Meter,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Normal_Trip_Status,owl:Class,rdfs:subClassOf,para:Trip_Status,,rdfs:label_en,Normal Trip Status,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Normal_Switch_Status,owl:Class,rdfs:subClassOf,brick:Switch_Status,,rdfs:label_en,Normal Switch Status,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Noise_Sensor,owl:Class,rdfs:subClassOf,brick:Sensor,,rdfs:label_en,Noise Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Noise_KPI,owl:Class,rdfs:subClassOf,para:OW_KPI,,rdfs:label_en,,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Neg_Current_Sensor,owl:Class,rdfs:subClassOf,brick:Current_Sensor,,rdfs:label_en,Negative Sequence Current,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Needed_Heating_Time,owl:Class,rdfs:subClassOf,brick:Point,,rdfs:label_en,Needed Heating Time,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Needed_Cooling_Time,owl:Class,rdfs:subClassOf,brick:Point,,rdfs:label_en,Needed Cooling Time,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Minutes,qudt:Unit,rdf:type,qudt:Unit,,qudt:symbol,Min,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Metering_System,owl:Class,rdfs:subClassOf,brick:System,,rdfs:label_en,Metering System,,,,,,,,,,,,,,,,,,,,,,,,,,
para:MediumPowerFan,owl:Class,rdfs:subClassOf,para:MediumPowerFan,,rdfs:label_en,Medium Power Fan,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Manual_Status,owl:Class,rdfs:subClassOf,brick:Manual_Auto_Status,,rdfs:label_en,Manual Status,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Manual_Override_Mode,owl:Class,rdfs:subClassOf,brick:Overridden_Status,,rdfs:label_en,Manual Override Mode,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Main_Distribution_Board,owl:Class,rdfs:subClassOf,brick:Electrical_Equipment,,rdfs:label_en,Main Distribution Board,,,,,,,,,,,,,,,,,,,,,,,,,,
para:LTG_Meter,owl:Class,rdfs:subClassOf,brick:Electrical_Meter,,rdfs:label_en,Lighting Electrical Meter,,,,,,,,,,,,,,,,,,,,,,,,,,
para:LowPowerFan,owl:Class,rdfs:subClassOf,para:LowPowerFan,,rdfs:label_en,Low Power Fan,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Low_Level_Limit,owl:Class,rdfs:subClassOf,brick:Level_Status,,rdfs:label_en,Low_Level_Limit,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Low_Level_Alarm,owl:Class,rdfs:subClassOf,brick:Min_Water_Level_Alarm,,rdfs:label_en,Low Lvl Alarm,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Line3_Power_Factor_Sensor,owl:Class,rdfs:subClassOf,brick:Power_Factor_Sensor,,rdfs:label_en,Line3 Power Factor Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Line2_Power_Factor_Sensor,owl:Class,rdfs:subClassOf,brick:Power_Factor_Sensor,,rdfs:label_en,Line2 Power Factor Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Line1_Power_Factor_Sensor,owl:Class,rdfs:subClassOf,brick:Power_Factor_Sensor,,rdfs:label_en,Line1 Power Factor Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Lighting_panel,owl:Class,rdfs:subClassOf,brick:Breaker_Panel,,rdfs:label_en,Lighting Panel,,,,,,,,,,,,,,,,,,,,,,,,,,
para:L3_Voltage_Sensor,owl:Class,rdfs:subClassOf,brick:Voltage_Sensor,,rdfs:label_en,L3 Voltage Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:L3_Voltage_Sensor,owl:Class,rdfs:subClassOf,brick:Voltage_Sensor,,rdfs:label_en,L3 Voltage Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:L3_L1_Voltage_Sensor,owl:Class,rdfs:subClassOf,brick:Voltage_Sensor,,rdfs:label_en,L3-L1 Voltage Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:L3_Current_Sensor,owl:Class,rdfs:subClassOf,brick:Current_Sensor,,rdfs:label_en,L3 Current Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:L2_Voltage_Sensor,owl:Class,rdfs:subClassOf,brick:Voltage_Sensor,,rdfs:label_en,L2 Voltage Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:L2_Voltage_Sensor,owl:Class,rdfs:subClassOf,brick:Voltage_Sensor,,rdfs:label_en,L2 Voltage Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:L2_L3_Voltage_Sensor,owl:Class,rdfs:subClassOf,brick:Voltage_Sensor,,rdfs:label_en,L2-L3 Voltage Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:L2_Current_Sensor,owl:Class,rdfs:subClassOf,brick:Current_Sensor,,rdfs:label_en,L2 Current Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:L1_Voltage_Sensor,owl:Class,rdfs:subClassOf,brick:Voltage_Sensor,,rdfs:label_en,L1 Voltage Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:L1_Voltage_Sensor,owl:Class,rdfs:subClassOf,brick:Voltage_Sensor,,rdfs:label_en,L1 Voltage Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:L1_L2_Voltage_Sensor,owl:Class,rdfs:subClassOf,brick:Voltage_Sensor,,rdfs:label_en,L1-L2 Voltage Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:L1_Current_Sensor,owl:Class,rdfs:subClassOf,brick:Current_Sensor,,rdfs:label_en,L1 Current Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:KPI,owl:Class,rdfs:subClassOf,brick:Point,,rdfs:label_en,Generic KPI,,,,,,,,,,,,,,,,,,,,,,,,,,
para:KiloWt-HR,qudt:Unit,rdf:type,qudt:Unit,,qudt:symbol,kWt·hr,,,,,,,,,,,,,,,,,,,,,,,,,,
para:KiloWt,qudt:Unit,rdf:type,qudt:Unit,,qudt:symbol,kWt,,,,,,,,,,,,,,,,,,,,,,,,,,
para:KiloGM-CO2-PER-KiloWt-HR,qudt:Unit,rdf:type,qudt:Unit,,qudt:symbol,kgCO₂e/kWt·hr,,,,,,,,,,,,,,,,,,,,,,,,,,
para:KiloGM-CO2-PER-KiloW-HR,qudt:Unit,rdf:type,qudt:Unit,,qudt:symbol,kgCO₂e/kW·hr,,,,,,,,,,,,,,,,,,,,,,,,,,
para:KiloGM-CO2,qudt:Unit,rdf:type,qudt:Unit,,qudt:symbol,kgCO₂e,,,,,,,,,,,,,,,,,,,,,,,,,,
para:IoT_System,owl:Class,rdfs:subClassOf,brick:System,,rdfs:label_en,IoT System,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Input_Alarm,owl:Class,rdfs:subClassOf,brick:Alarm,,rdfs:label_en,Input Alarm,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Illuminance_KPI,owl:Class,rdfs:subClassOf,para:OW_KPI,,rdfs:label_en,,,,,,,,,,,,,,,,,,,,,,,,,,,
para:IFC_ID,owl:DatatypeProperty,rdfs:subClassOf,ref:ifcGlobalID,,rdfs:label_en,IFC_Id,,,,,,,,,,,,,,,,,,,,,,,,,,
para:HW_Meter,owl:Class,rdfs:subClassOf,brick:Thermal_Power_Meter,,rdfs:label_en,Hot Water Thermal Power Meter,,,,,,,,,,,,,,,,,,,,,,,,,,
para:HVAC_Meter,owl:Class,rdfs:subClassOf,brick:Electrical_Meter,,rdfs:label_en,HVAC Electrical Meter,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Humidification_Mode_Status,owl:Class,rdfs:subClassOf,brick:Operating_Mode_Status,,rdfs:label_en,Humidification Mode Status,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Humid_Mode_Operation_Hours,owl:Class,rdfs:subClassOf,para:Operation_Hours,,rdfs:label_en,Humidification Operationg Duration,,,,,,,,,,,,,,,,,,,,,,,,,,
para:HRW_Heating_Temperature_Setpoint,owl:Class,rdfs:subClassOf,brick:Temperature_Setpoint,,rdfs:label_en,HRW Heating Temperature Setpoint,,,,,,,,,,,,,,,,,,,,,,,,,,
para:HRW_Cooling_Temperature_Setpoint,owl:Class,rdfs:subClassOf,brick:Temperature_Setpoint,,rdfs:label_en,HRW Cooling Temperature Setpoint,,,,,,,,,,,,,,,,,,,,,,,,,,
para:HighPowerFan,owl:Class,rdfs:subClassOf,para:HighPowerFan,,rdfs:label_en,High Power Fan,,,,,,,,,,,,,,,,,,,,,,,,,,
para:High_Level_Alarm,owl:Class,rdfs:subClassOf,brick:Max_Water_Level_Alarm,,rdfs:label_en,Max Lvl Alarm,,,,,,,,,,,,,,,,,,,,,,,,,,
para:High_Coolant_Temperature_Sensor,owl:Class,rdfs:subClassOf,brick:Temperature_Sensor,,rdfs:label_en,High Coolant Temperature Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:High_Coolant_Temperature_Sensor,owl:Class,rdfs:subClassOf,brick:Temperature_Sensor,,rdfs:label_en,High Coolant Temperature Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Heating_Mode_Operation_Hours,owl:Class,rdfs:subClassOf,para:Operation_Hours,,rdfs:label_en,Heating Mode Operating Duration,,,,,,,,,,,,,,,,,,,,,,,,,,
para:hasEntityId,owl:DatatypeProperty,rdfs:subClassOf,ref:hasTimeseriesId,,rdfs:label_en,hasEntityId,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Grey_water_System,owl:Class,rdfs:subClassOf,brick:Water_System,,rdfs:label_en,Grey Water System,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Generator_Meter,owl:Class,rdfs:subClassOf,brick:Electrical_Meter,,rdfs:label_en,Solar Electrical Meter,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Generator_kWh_Sensor,owl:Class,rdfs:subClassOf,para:Generator,,rdfs:label_en,Generator kWh Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Generator,owl:Class,rdfs:subClassOf,brick:Electrical_Equipment,,rdfs:label_en,Generator,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Generation_Sensor_Forecast,owl:Class,rdfs:subClassOf,brick:Generation_Sensor,,rdfs:label_en,Generation Forecast,,,,,,,,,,,,,,,,,,,,,,,,,,
para:General_Util_Meter,owl:Class,rdfs:subClassOf,brick:Electrical_Meter,,rdfs:label_en,General Utilities Electrical Meter,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Garage_Exhaust_Fan,owl:Class,rdfs:subClassOf,brick:Exhaust_Fan,,rdfs:label_en,Garage Exhaust Fan,,,,,,,,,,,,,,,,,,,,,,,,,,
para:fuse_failure,owl:Class,rdfs:subClassOf,brick:Failure_Alarm,,rdfs:label_en,Fuse Failure,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Fuel-Oil-System,owl:Class,rdfs:subClassOf,brick:System,,rdfs:label_en,Fuel Oil System,,,,,,,,,,,,,,,,,,,,,,,,,,
